vowel,category,F1_mean,F2_mean,F3_mean,F1_std,F2_std,F3_std,F1_min,F2_min,F3_min,F1_max,F2_max,F3_max,F0_mean,F0_std,F0_min,F0_max,F0_range,duration,sample_rate,mfcc1_mean,mfcc1_std,mfcc2_mean,mfcc2_std,mfcc3_mean,mfcc3_std,mfcc4_mean,mfcc4_std,mfcc5_mean,mfcc5_std,mfcc6_mean,mfcc6_std,mfcc7_mean,mfcc7_std,mfcc8_mean,mfcc8_std,mfcc9_mean,mfcc9_std,mfcc10_mean,mfcc10_std,mfcc11_mean,mfcc11_std,mfcc12_mean,mfcc12_std,mfcc13_mean,mfcc13_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_rolloff_mean,spectral_rolloff_std,F2_F1_ratio,F3_F2_ratio,F3_F1_ratio,formant_dispersion
o,adult_male,993.4500608936733,2676.785815386945,3637.325292371566,126.53784542995136,297.4046336152303,289.58320358093107,843.8578371821743,2005.183572736237,3247.320711327751,1497.7871419647654,3265.2632515412424,4227.295162485839,141.31866200633647,99.14876717360362,83.62369337979094,342.85714285714283,259.2334494773519,0.25025,24000,-26.792494,39.280544,76.79182,8.101737,-11.924537,3.593456,2.0496132,2.835914,-15.447757,8.377962,-15.48923,7.274457,1.242426,3.1791613,4.367931,5.943293,-1.6565422,4.1929474,4.628671,2.6772344,3.0790045,4.812592,2.9289792,4.2491107,7.0065055,2.9479995,3190.492638429931,194.92479573882562,3113.4894662108886,78.90173680668242,6941.40625,386.19558994297984,2.694434195292113,1.3588406182755302,3.6613066278334654,1321.9376157389463
a,child_3yo,1350.0799838388098,2367.5728363457492,4120.086530450001,88.49880826027108,151.03477495113944,245.4819909884691,1187.638510388877,2124.4334686357593,3773.1932191393585,1547.583796630098,2813.0288037046384,5037.926243430982,328.4954255587993,159.2933600869846,103.00429184549357,600.0,496.9957081545064,0.539125,24000,-158.88254,211.71538,22.598646,12.525909,-37.53256,19.172268,-11.477687,12.193571,5.3288045,7.3294053,8.813745,8.122842,-1.9200677,3.9785168,-3.6343584,6.580443,-2.9489245,4.859563,-6.7262034,7.7785716,-3.8593597,3.972338,7.0289493,5.019782,-0.6306842,3.8079886,3151.98885367607,1379.6414072352363,2631.088174875746,1125.744409543379,6488.131009615385,2798.3492084252302,1.7536537573231818,1.7402153239809866,3.051735141450635,1385.0032733055957
o,adult_female,1116.0549347642625,2650.0506781564195,3996.636252615155,141.65101290205328,266.41927962787435,341.7538697120585,660.4940504778314,2132.6572392791804,3494.6435202336756,1397.1611610432205,3254.8745375703797,4720.245004906155,216.96400882571993,8.848583363273182,208.69565217391303,240.0,31.304347826086968,0.3077083333333333,24000,4.048327,35.933155,44.489685,9.288006,-19.55196,6.374326,-2.5888543,6.06136,-6.468793,6.4246836,-2.4866323,4.353165,-1.2322537,3.4532576,-0.28543663,6.1530533,-8.462626,3.7412243,-5.948699,5.598028,-0.52713645,6.8245826,1.9095237,3.98946,-2.9584215,3.94729,3649.725680850087,292.35980579711156,3286.0640713560874,106.86693168210475,7868.75,394.5320235140932,2.3744804987723778,1.508135782292105,3.5810390045534275,1440.2906589254462
i,child_5yo,1181.0474681683927,2769.8021571323065,4244.780631618925,129.97683284757733,337.9497940809521,458.9056055242515,1009.3510502310575,2129.9165762056696,3618.5535912383043,1498.4783960129387,3392.995314784667,5447.905180398123,239.98519276501602,26.751822131137057,123.71134020618557,250.0,126.28865979381443,0.21666666666666667,24000,-9.45339,47.440296,34.65364,3.9580994,-8.129993,5.5256085,4.7704577,3.4642496,-6.11591,4.00515,2.2296894,3.6694303,-3.018178,1.7699883,-2.3895757,2.7867053,-4.5645213,2.9902973,-0.09038524,2.3221178,1.5035411,4.4863706,1.4731255,3.4864063,-2.9350135,1.633604,4094.7861381177277,210.39868779600576,3409.5816433392947,122.58305570118384,8431.107954545454,313.78585208156653,2.345208157829428,1.532521238272746,3.5940813100441007,1531.8665817252663
i,adult_female,1090.0307315624248,2540.51827311808,4130.147200488676,319.75578325350824,309.2422837562526,411.99065540612304,811.9821232302579,1891.518343692369,3641.156646961817,1802.1660070968037,3173.0013789501913,5061.4652496883145,302.7974550860041,88.91340293364239,212.38938053097345,400.0,187.61061946902655,0.26366666666666666,24000,-223.11467,272.36847,26.958961,21.279825,-5.7955937,5.141852,9.076258,12.266143,-0.23387769,6.2321544,-1.0803695,2.3722887,-3.6330805,9.408116,-0.7081306,2.965639,-0.40478897,4.843574,-2.3121133,4.497172,-2.3149304,3.0538926,1.5836062,3.3658369,-2.846185,3.9343884,2651.682983659565,1785.1078299246476,2285.2537414554236,1530.2153532784175,5531.25,3692.6151294361325,2.330684997730807,1.6257104875768444,3.789019044048987,1520.0582344631257
e,child_7yo,1399.7332916238915,2635.658512398449,3988.8888931393476,185.53339488154103,251.42969430994845,333.50973181730603,1113.2918898631353,2304.754443008006,3217.488148809659,1973.8165889692552,3175.691155782088,4768.253751426474,304.1604699359782,100.79421338177845,260.8695652173913,600.0,339.1304347826087,0.31045833333333334,24000,-77.00792,135.73262,16.45393,13.22895,-25.084175,10.264064,3.2210848,9.553458,-1.6744956,7.3730106,-5.6811266,4.131102,-1.716066,6.874308,-5.189216,3.6625924,-2.531414,2.2983947,1.4041219,4.137535,-0.41984776,4.5391192,-0.5148781,4.185017,-2.3535144,3.5410929,4375.174752012,571.6859037251628,3323.7663382378455,80.26510670414261,8696.875,620.9517329772902,1.8829719405621244,1.5134316051852479,2.8497492465237175,1294.577800757728
u,child_5yo,1291.7414132775166,2637.8865103906173,4167.567722735963,385.4997380402775,590.5103957692476,400.4260646390036,652.1591005962028,1851.7893531749883,3443.49183942846,1916.6161256413052,3826.828908138973,5069.805393317553,253.6072490135571,7.134541721990907,247.42268041237114,275.86206896551727,28.43938855314613,0.19245833333333334,24000,16.92192,44.962517,36.42634,10.34919,-10.127504,8.495122,5.357883,4.9334445,-4.3733015,3.9632595,0.47019893,3.8839998,-6.590008,1.5312027,-3.050625,2.778105,0.09560909,5.350482,1.1120952,4.441735,-0.8334629,2.0385163,0.97283524,3.2360902,-1.834329,1.3609357,4102.355994302402,304.45033587625346,3369.1452723928633,50.73809586215273,8369.53125,244.683459018356,2.04211654381936,1.5798889399979648,3.226317341767076,1437.9131547292232
e,adult_male,903.2024245662295,2737.650415870248,4041.0524658604536,363.7950009080431,284.07621942962203,421.9559903454607,493.805362219537,2298.1734005920944,3243.0785773892608,2416.860740336,3785.109598921561,5329.385550075474,141.78568886840088,58.21767928427797,121.21212121212122,400.0,278.78787878787875,0.275875,24000,2.833635,43.158337,57.126934,13.238791,-1.886528,4.3752127,15.47761,6.243947,-2.501452,3.424654,-7.192554,3.5069058,-2.7554512,4.114702,1.6193026,4.615331,-2.6826818,5.6183977,-0.16769306,4.250247,-2.7248366,6.6652765,-4.0034566,6.069161,-5.417424,8.246898,3572.6710691948883,478.3299671814129,3294.39267091872,97.59601606803102,7742.4879807692305,646.4931561294712,3.0310485683040844,1.476102442603461,4.474138195323382,1568.925020647112
u,child_5yo,1286.3528915466652,2548.566927011521,3899.0031029794877,114.41093699375787,248.4185961767587,331.9161160506918,1140.5770065906004,2243.5658066213205,3352.8061350622056,1504.726618426334,3120.640409925134,4855.59293485525,260.5826943857148,85.53966198205708,113.74407582938389,600.0,486.25592417061614,0.20570833333333333,24000,6.32228,32.74659,40.205067,21.473492,-13.350046,4.9662046,3.0365329,3.1405559,-1.3032753,1.7470016,-1.9721076,1.4625368,-2.3834186,3.2057424,-8.527708,6.107124,-11.974773,7.887929,-6.5491104,2.567179,1.7985204,3.9381142,2.9172096,2.5842485,-0.17288634,1.8403275,3882.543196596177,467.7166719573929,3378.540599157066,106.21346535062989,8300.390625,647.3387009895423,1.9812346547821835,1.5298806013901718,3.0310524651532167,1306.3251057164111
e,adult_female,1270.2217007045042,2925.066362693606,4100.071483972179,256.5791484365013,274.47034238305406,218.07039101656014,917.9469582276652,2619.1195662462733,3779.5642978226574,1633.8453142798223,3794.815145545973,4419.455848538444,293.8057816090527,83.49626489048764,220.1834862385321,400.0,179.8165137614679,0.238875,24000,-42.7151,108.10695,26.801704,20.185303,-5.294699,10.717961,3.5457058,5.6681085,-4.868175,3.3511477,-1.6888512,1.8730466,3.96339,3.0461671,-1.8175058,1.9595584,-3.2725573,3.5356143,-4.604757,4.529069,-6.619118,4.8758636,-4.9118953,3.2275171,0.93861026,2.7899199,4634.762718653455,698.3266342878626,3495.08715361206,135.53175791547866,9192.3828125,591.3898339758475,2.30279986641015,1.4017020387176944,3.2278392675059417,1414.9248916338372
o,child_5yo,1354.1484099549066,2860.228303149837,3979.569690113957,120.06369109503864,424.5068529286813,396.210250395126,1172.1558417028564,2063.674807672384,3335.1242670234155,1625.7358738982996,3503.277965910522,4805.921946867292,292.72641861315043,130.2779400240213,121.21212121212122,600.0,478.78787878787875,0.4101666666666667,24000,-80.09135,192.78976,25.94518,13.374677,-21.348295,13.479201,-11.51668,6.1313543,-12.244968,8.244641,-1.0401304,3.911552,8.619996,8.532569,-1.8481423,3.9982119,-6.9677916,6.7828345,3.7950318,4.08343,1.0182216,3.549709,-5.820932,3.173593,1.0557206,3.2675095,3992.902422612135,1453.8930862998532,3019.9622164337934,1015.3678861279564,7925.9765625,2730.9497170612094,2.112197069481537,1.3913468675669847,2.9387987763073014,1312.7106400795253
u,adult_female,1369.7784173852774,2821.0484015887887,4163.022703958086,283.5261280269289,343.47445287775486,559.2926974000582,1050.0912962528798,2185.413407188123,3171.1498532913643,1844.847067208335,3282.463573454521,4947.2490661052625,205.89293850477037,23.046557585014078,114.28571428571429,250.0,135.71428571428572,0.23470833333333332,24000,1.4661394,41.18783,46.867054,15.636092,-22.428827,2.866416,-6.518429,10.599016,-9.705642,7.7958994,-5.363386,2.5545335,-2.4687703,3.5215416,-1.798263,3.609628,-1.7466307,5.497656,3.3418615,2.2084312,0.55754644,2.6726613,-6.831337,2.7071679,-6.2552676,4.6611004,3733.912432094705,343.35005875109573,3267.9597551378374,82.47616272208808,7953.125,473.30147076315166,2.0594925177561128,1.4757005592720456,3.0391942602692894,1396.6221432864043
e,child_5yo,1367.8909124931047,2865.8213302121067,4366.26658096573,317.7225500144004,524.3816312367425,560.2680168533449,431.8929607192527,1541.8488478046684,3315.382163267372,1879.4273924966808,3596.306563969674,5444.793537807725,286.5932645983355,63.129396116705344,266.6666666666667,600.0,333.3333333333333,0.279375,24000,-32.019398,80.9256,21.012629,4.076416,-15.807275,3.7553172,11.332687,1.9518682,-2.9628317,3.1750638,-1.1523508,3.784983,-2.5397263,4.0332637,-5.9713883,4.791026,-6.6760406,3.869346,-3.2981117,2.3929539,-0.95504093,1.5657792,-2.0631256,3.750717,-0.6699716,2.4922554,4256.5244116708245,358.5879239912713,3335.543541974708,109.22224357585533,8507.8125,296.0330813269952,2.095065698615461,1.5235655255041918,3.1919698720768714,1499.1878342363127
u,child_3yo,1039.621611661664,2336.035009573951,3971.254425560025,110.81530530083258,235.8056369986296,246.29656061261807,877.6256274316958,1686.2675693736144,3347.616541323291,1378.832672192041,2698.27576076495,4371.759582754492,191.3427648057583,34.14720130302647,121.8274111675127,247.42268041237114,125.59526924485844,0.19395833333333334,24000,-6.530519,34.121037,63.161438,10.899798,-5.028331,6.088101,-9.77157,6.370603,-13.636877,7.369351,-1.3359162,4.577641,-6.971198,3.2420232,0.4484547,3.4776673,-0.4959733,2.035982,-1.3709065,3.752656,-3.9661975,2.4159377,-1.3589122,2.7685616,-0.5518769,1.1667134,3682.880174907251,258.8440476756336,3374.42746764684,41.24261115515558,7981.640625,230.2637462178222,2.247005048154187,1.699997820787929,3.8199036851615933,1465.8164069491804
o,adult_female,1284.3206391969732,2665.4547619068467,3941.9846501168245,126.56552172161156,138.838116207372,244.22981093657,1182.3042649798635,2452.1812036024994,3629.1366929607298,1620.244344594281,3024.485646660756,4412.787567379966,334.2268976693923,83.90544554441792,184.6153846153846,400.0,215.3846153846154,0.27929166666666666,24000,-328.65616,313.45334,19.564848,21.649277,-10.972529,12.253376,-0.6342715,1.9131883,-1.490163,2.3021731,-0.27229744,3.3639958,4.447963,5.328801,2.8246825,3.7550426,-2.672846,4.401171,-4.572684,5.5566297,-1.723251,2.9806948,-0.2931501,1.1299757,-0.17221184,1.5267498,2041.9443742902245,2075.913053330643,1659.033438399714,1660.8560288087829,4168.526785714285,4197.9033594752345,2.0753810851886905,1.4789163584591314,3.069315036922218,1328.8320054599258
u,child_7yo,1247.4373449414493,2379.3673409920693,3967.6447351915936,78.68914283634511,265.4547035611141,292.5659943244907,1167.975128468079,2080.2196684063592,3298.555826667546,1446.5519382169236,2989.770241844384,4472.659562370477,350.13041517567973,152.25268704474283,150.9433962264151,600.0,449.0566037735849,0.210625,24000,-77.10244,188.27156,43.59292,21.806189,-19.641281,10.794949,-1.8261573,6.1870995,0.39187664,1.9242309,0.9224275,2.6604905,0.7515232,3.4405782,-3.9309325,3.5049932,-1.1862142,4.653779,-2.8748717,3.4447963,0.1882679,3.5249536,1.0599694,4.074103,-0.11681788,1.8815328,3242.9667227674054,1108.6863295848264,2984.3784628376116,995.9557243834478,7126.171875,2388.075674266917,1.9074042881919246,1.6675208854204484,3.1806364875005584,1360.1036951250721
i,child_7yo,1240.6043313382368,2995.9413334647506,4151.410471812907,194.21107612426962,191.51231123571503,406.2210829148236,1055.7689498038576,2630.3342440915794,3324.3966944483564,1622.0995444794326,3300.2437422409407,4676.34184730132,380.68245122378016,183.5317519290729,222.22222222222223,600.0,377.77777777777777,0.19908333333333333,24000,-163.7448,237.92427,16.20427,12.17828,-5.585309,5.2347713,7.784073,4.2550526,-3.4386163,3.7267897,-1.8287789,3.2641838,1.5769784,3.1538067,-7.437616,6.104314,-8.007098,5.137358,-6.083049,4.394795,-4.643634,3.2526414,0.44367853,2.4205995,-0.9780208,1.5548766,4261.126124091451,1522.0884869959634,3090.3432508281517,1047.7749216030204,8265.234375,2814.8722905245436,2.4149047829238484,1.3856781591286629,3.3462808140729217,1455.4030702373352
o,adult_female,1194.330673431419,2485.9943217605955,3981.151501820316,243.08206126383502,374.01859489339535,443.8217075586875,918.7427433209132,1838.3039414560565,2634.6775142599913,1614.1079436267225,3229.8638433845326,4874.823892234111,217.1572573612992,79.84877788626792,177.77777777777777,400.0,222.22222222222223,0.2680416666666667,24000,-83.65779,175.63333,41.572666,25.232897,-13.937426,5.0166526,-2.0817122,4.3604717,0.09713481,4.8669233,-5.490296,5.748893,-4.2449307,4.2088656,0.6499364,5.3975186,2.1408134,4.2915177,-2.2954383,4.1953545,-2.2321887,5.757039,-2.7087,2.0202045,0.55415195,3.0590258,4144.7186574273455,868.7999236919495,3421.8054197971132,143.15723507286498,8565.504807692309,1016.667080317074,2.0814958344979213,1.601432258703166,3.3333745757212374,1393.4104141944485
